GROUP,SCHOOL/DEPT,PRINTER NAME,ADDRESS,QUEUE NAME,MANAGED BY,SUPPLY CONTACT,TONER ALERT STATUS,LEASE OWNER
Central Administration (CADM),1 Francis Ave,CADM-NIEMAN-1FRANCISAVE-009-B01,"1 Francis Ave, Basement, Room 009",CADM-Crimson-Print,,,,
Central Administration (CADM),1 Francis Ave,CADM-NIEMAN-1FRANCISAVE-214-C01,"1 Francis Ave, Floor 2, Room 214",CADM-Crimson-Print,,,,
Central Administration (CADM),1 Oxford St (Science Center),CADM-EU-SC-BSMT-C01,"1 Oxford St, Basement, Outside of E&U Office",CADM-Crimson-Print,,,,
Central Administration (CADM),1 Oxford St (Science Center),SCS-SCIENCECTR-B14-C01,"1 Oxford St, Basement, Room B14",CADM-Crimson-Print,,,,
Central Administration (CADM),1 Oxford St (Science Center),SCS-SCIENCECTR-B14-C02,"1 Oxford St, Basement, Room B14",CADM-Crimson-Print,,,,
Central Administration (CADM),1 Oxford St (Science Center),FAS-ESS-SC-B02-C01,"1 Oxford St, Basement, Room B02",CADM-Crimson-Print,,,,
Central Administration (CADM),1000 Massachusetts Ave,CADM-HL-1000MA-222-C01,"1000 Mass Ave, Floor 2, Room 222",CADM-Crimson-Print,,,,
Central Administration (CADM),1000 Massachusetts Ave,CADM-HL-1000MA-249-C01,"1000 Mass Ave, Floor 2, Room 249",CADM-Crimson-Print,,,,
Central Administration (CADM),1000 Massachusetts Ave,CADM-HL-1000MA-259-C01,"1000 Mass Ave, Floor 2, Room 259",CADM-Crimson-Print,,,,
Central Administration (CADM),104 Mount Auburn St,CADM-GHELI-104MTA-317-C01,"104 Mount Auburn St, Floor 3, Room 317",CADM-Crimson-Print,,,,
Central Administration (CADM),11 Harvard Yard (Massachusetts Hall),CADM-OPP-MASSHALL-FL1-MAIL,"Massachusetts Hall, Floor 1, Mail Room",CADM-Crimson-Print,,,,
Central Administration (CADM),11 Harvard Yard (Massachusetts Hall),CADM-OPP-MASSHALL-FL1-RECPTN,"Massachusetts Hall, Floor 1, Reception",CADM-Crimson-Print,,,,
Central Administration (CADM),11 Harvard Yard (Massachusetts Hall),CADM-OPP-MASSHALL-FL2,"Massachusetts Hall, Floor 2, Hallway",CADM-Crimson-Print,,,,
Central Administration (CADM),11 Harvard Yard (Massachusetts Hall),CADM-OPP-MASSHALL-FL3,"Massachusetts Hall, Floor 3, Copy Area",CADM-Crimson-Print,,,,
Central Administration (CADM),114 Mount Auburn St,CADM-VPAL-114MTA-321-C01,"114 Mount Auburn St, Floor 3, Room 321",CADM-Crimson-Print,,,,
Central Administration (CADM),114 Mount Auburn St,CADM-FAD-114MTA-437-C01,"114 Mount Auburn St, Floor 4, Near 437",CADM-Crimson-Print,,,,
Central Administration (CADM),114 Mount Auburn St,CADM-FAD-114MTA-444-C01,"114 Mount Auburn St, Floor 4, Near 444",CADM-Crimson-Print,,,,
Central Administration (CADM),114 Mount Auburn St,CADM-HPAC-114MTA-537-C01,"114 Mount Auburn St, Floor 5, Room 537 (mail room)",CADM-Crimson-Print,,,,
Central Administration (CADM),114 Mount Auburn St,CADM-GSS-114MTA-547-C01,"114 Mount Auburn St, Floor 5, Room 547",CADM-Crimson-Print,,,,
Central Administration (CADM),114 Mount Auburn St,CADM-HPAC-114MTA-629-C01,"114 Mount Auburn St, Floor 6, Room 629",CADM-Crimson-Print,,,,
Central Administration (CADM),114 Western Ave,CADM-HALC-114WESTERNAVE-3216-C01,"114 Western Ave, Floor 3, Room 3216",CADM-Crimson-Print,,,,
Central Administration (CADM),114 Western Ave,CADM-CS-114WESTERNAVE-3500-C01,"114 Western Ave, Floor 3, Room 3500",CADM-Crimson-Print,,,,
Central Administration (CADM),114 Western Ave,CADM-HDSI-114WESTERNAVE-3500-C01,"114 Western Ave, Floor 3, Suite 3500, Outside Office 3122",CADM-Crimson-Print,,,,
Central Administration (CADM),12 Western Ave,CADM-CS-12WESTERNAVE-FL3-C01,"12 Western Ave, Floor 3",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-HHR-124MTA-3303-C01,"124 Mount Auburn St, Floor 3, Room 3303",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-HHR-124MTA-3337-C01,"124 Mount Auburn St, Floor 3, Room 3337 (Copy Room)",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-HHR-124MTA-3379-C01,"124 Mount Auburn St, Floor 3, Room 3379 (Copy Room)",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-AAD-124MTA-345-C01,"124 Mount Auburn St, Floor 3, Near Room 345 (By Stairwell)",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-AAD-124MTA-418S-C01,"124 Mount Auburn St, Floor 4, Room 418S",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-AAD-124MTA-419-C01,"124 Mount Auburn St, Floor 4, Room 419",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-FAD-124MTA-430S-C01,"124 Mount Auburn St, Floor 4, Room 430S",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-AAD-124MTA-444-C01,"124 Mount Auburn St, Floor 4, Room 444",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-HHR-124MTA-4451C-C01,"124 Mount Auburn St, Floor 4, Benefits Office, Closet 4451C",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-HHR-124MTA-460-C01,"124 Mount Auburn St, Floor 4, Room 460",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-AAD-124MTA-478-C01,"124 Mount Auburn St, Floor 4, Room 478",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-AAD-124MTA-532-C01,"124 Mount Auburn St, Floor 5, Room 532",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-AAD-124MTA-560-C01,"124 Mount Auburn St, Floor 5, Room 560",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-AAD-124MTA-602-C01,"124 Mount Auburn St, Floor 6, Room 602",CADM-Crimson-Print,,,,
Central Administration (CADM),124 Mount Auburn St,CADM-AAD-124MTA-611-C01,"124 Mount Auburn St, Floor 6, Room 611",CADM-Crimson-Print,,,,
Central Administration (CADM),1350 Massachusetts Ave (Smith Campus Center),CADM-CP-1350MA-540-C01,"Smith Campus Center, Floor 5, Room 540",CADM-Crimson-Print,,,,
Central Administration (CADM),1350 Massachusetts Ave (Smith Campus Center),CADM-HUPAD-1350MA-560-C01,"Smith Campus Center, Floor 5, Room 560",CADM-Crimson-Print,,,,
Central Administration (CADM),1350 Massachusetts Ave (Smith Campus Center),CADM-HUPAD-1350MA-572-C01,"Smith Campus Center, Floor 5, Room 572",CADM-Crimson-Print,,,,
Central Administration (CADM),1350 Massachusetts Ave (Smith Campus Center),CADM-OGE-1350MA-624-C01,"Smith Campus Center, Floor 6, Room 624",CADM-Crimson-Print,,,,
Central Administration (CADM),1350 Massachusetts Ave (Smith Campus Center),CADM-UDR-1350MA-662-C01,"Smith Campus Center, Floor 6, Room 662",CADM-Crimson-Print,,,,
Central Administration (CADM),1350 Massachusetts Ave (Smith Campus Center),CADM-OPP-1350MA-669-C01,"Smith Campus Center, Floor 6, Room 669",CADM-Crimson-Print,,,,
