GROUPS,,,,,,,
SCHOOL/DEPT MANAGING,,,QUEUE NAME,MANAGED BY,SUPPLY CONTACT,TONER ALERT STATUS,LEASE OWNER
Central Administration (CADM),,,,,,,
,,,CADM-Crimson-Print,,,,
,PRINTER NAME,LOCATION,,,,,
1 Francis Ave,CADM-NIEMAN-1FRANCISAVE-009-B01,"1 Francis Ave, Basement, Room 009",,,,,
,CADM-NIEMAN-1FRANCISAVE-214-C01,"1 Francis Ave, Floor 2, Room 214",,,,,
1 Oxford St (Science Center),CADM-EU-SC-BSMT-C01,"1 Oxford St, Basement, Outside of E&U Office",,,,,
,SCS-SCIENCECTR-B14-C01,"1 Oxford St, Basement, Room B14",,,,,
,SCS-SCIENCECTR-B14-C02,"1 Oxford St, Basement, Room B14",,,,,
,FAS-ESS-SC-B02-C01,"1 Oxford St, Basement, Room B02",,,,,
1000 Massachusetts Ave,CADM-HL-1000MA-222-C01,"1000 Mass Ave, Floor 2, Room 222",,,,,
,CADM-HL-1000MA-249-C01,"1000 Mass Ave, Floor 2, Room 249",,,,,
,CADM-HL-1000MA-259-C01,"1000 Mass Ave, Floor 2, Room 259",,,,,
104 Mount Auburn St,CADM-GHELI-104MTA-317-C01,"104 Mount Auburn St, Floor 3, Room 317",,,,,
11 Harvard Yard (Massachusetts Hall),CADM-OPP-MASSHALL-FL1-MAIL,"Massachusetts Hall, Floor 1, Mail Room",,,,,
,CADM-OPP-MASSHALL-FL1-RECPTN,"Massachusetts Hall, Floor 1, Reception",,,,,
,CADM-OPP-MASSHALL-FL2,"Massachusetts Hall, Floor 2, Hallway",,,,,
,CADM-OPP-MASSHALL-FL3,"Massachusetts Hall, Floor 3, Copy Area",,,,,
114 Mount Auburn St,CADM-VPAL-114MTA-321-C01,"114 Mount Auburn St, Floor 3, Room 321",,,,,
,CADM-FAD-114MTA-437-C01,"114 Mount Auburn St, Floor 4, Near 437",,,,,
,CADM-FAD-114MTA-444-C01,"114 Mount Auburn St, Floor 4, Near 444",,,,,
,CADM-HPAC-114MTA-537-C01,"114 Mount Auburn St, Floor 5, Room 537 (mail room)",,,,,
,CADM-GSS-114MTA-547-C01,"114 Mount Auburn St, Floor 5, Room 547",,,,,
